,CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,ESTATUS DE OPERACION,LONGITUD,LATITUD
8,ASIMS000016,AGUASCALIENTES,IMSS,EN OPERACION,-102.254162,21.876488
9,ASIMS000021,AGUASCALIENTES,IMSS,EN OPERACION,-102.294179,21.866216
23,ASIMS000161,AGUASCALIENTES,IMSS,EN OPERACION,-102.308622,21.95677725
24,ASIST000016,AGUASCALIENTES,ISSSTE,EN OPERACION,-102.307437,21.901974
41,ASSMP000016,AGUASCALIENTES,SMP,EN OPERACION,-102.2845039,21.882726
42,ASSMP000021,AGUASCALIENTES,SMP,EN OPERACION,-102.3065315,21.88255436
43,ASSMP000033,AGUASCALIENTES,SMP,EN OPERACION,-102.2980712,21.86379636
44,ASSMP000045,AGUASCALIENTES,SMP,EN OPERACION,-102.3053279,21.88245978
45,ASSMP000050,AGUASCALIENTES,SMP,EN OPERACION,-102.3181106,21.85571841
47,ASSMP000074,AGUASCALIENTES,SMP,EN OPERACION,-102.277068,21.859942
48,ASSMP000086,AGUASCALIENTES,SMP,EN OPERACION,-102.300972,21.852399
49,ASSMP000091,AGUASCALIENTES,SMP,EN OPERACION,-102.29656,21.870156
50,ASSMP000103,AGUASCALIENTES,SMP,EN OPERACION,-102.283808,21.867544
51,ASSMP000115,AGUASCALIENTES,SMP,EN OPERACION,-102.303245,21.863429
52,ASSMP000120,AGUASCALIENTES,SMP,EN OPERACION,-102.304686,21.897583
53,ASSMP000132,AGUASCALIENTES,SMP,EN OPERACION,-102.267413,21.903586
54,ASSMP000144,AGUASCALIENTES,SMP,EN OPERACION,-102.302983,21.861592
55,ASSMP000156,AGUASCALIENTES,SMP,EN OPERACION,-102.316833,22.235164
56,ASSMP000161,AGUASCALIENTES,SMP,EN OPERACION,-102.317039,22.228621
57,ASSMP000173,AGUASCALIENTES,SMP,EN OPERACION,-102.703323,21.848046
62,ASSMP000226,AGUASCALIENTES,SMP,EN OPERACION,-102.288314,21.883265
67,ASSMP000275,AGUASCALIENTES,SMP,EN OPERACION,-102.3026917,21.8688444
129,ASSMP000890,AGUASCALIENTES,SMP,EN OPERACION,-102.2862463,21.8674197
134,ASSSA000030,AGUASCALIENTES,SSA,EN OPERACION,-102.255516,21.85571
135,ASSSA000042,AGUASCALIENTES,SSA,EN OPERACION,-102.2531563,21.85655946
136,ASSSA000054,AGUASCALIENTES,SSA,EN OPERACION,-102.3553202,21.83920013
171,ASSSA000404,AGUASCALIENTES,SSA,EN OPERACION,-102.7032486,21.84834534
192,ASSSA000614,AGUASCALIENTES,SSA,EN OPERACION,-102.279334,22.149965
196,ASSSA000655,AGUASCALIENTES,SSA,EN OPERACION,-102.321294,22.224826
264,ASSSA001331,AGUASCALIENTES,SSA,EN OPERACION,-102.2830577,21.89472371
267,BCCRO000014,BAJA CALIFORNIA,CRO,EN OPERACION,-117.05638,32.34203
279,BCIMO000070,BAJA CALIFORNIA,IMSS-PROSPERA,EN OPERACION,-115.992895,30.709146
294,BCIMS000011,BAJA CALIFORNIA,IMSS,EN OPERACION,-116.605672,31.85704
